timestamp,route_short_name,position_longitude,position_latitude,time
2017-05-16 11:04:49.000 -07:00,026,-123.044464111328,49.2444839477539,70
2017-05-16 11:05:54.000 -07:00,026,-123.043952941895,49.2427825927734,71
2017-05-16 11:09:09.000 -07:00,026,-123.04322052002,49.2325172424316,72
2017-05-16 11:10:14.000 -07:00,026,-123.032081604004,49.2290992736816,73
2017-05-16 11:11:51.000 -07:00,026,-123.037399291992,49.23193359375,74
2017-05-16 11:12:23.000 -07:00,026,-123.04133605957,49.2219009399414,75
2017-05-16 11:13:28.000 -07:00,026,-123.037399291992,49.23193359375,76
2017-05-16 11:14:33.000 -07:00,026,-123.041481018066,49.2183151245117,77
2017-05-16 11:15:06.000 -07:00,026,-123.033065795898,49.2369155883789,78
2017-05-16 11:16:11.000 -07:00,026,-123.040481567383,49.2154502868652,79
2017-05-16 11:17:16.000 -07:00,026,-123.044868469238,49.2442512512207,80
2017-05-16 11:18:21.000 -07:00,026,-123.040481567383,49.2154502868652,81
2017-05-16 11:19:58.000 -07:00,026,-123.044868469238,49.2442512512207,82
2017-05-16 11:20:30.000 -07:00,026,-123.036499023438,49.2156982421875,83
2017-05-16 11:21:35.000 -07:00,026,-123.044868469238,49.2442512512207,84
2017-05-16 11:22:07.000 -07:00,026,-123.029830932617,49.2138824462891,85
2017-05-16 11:22:39.000 -07:00,026,-123.044868469238,49.2442512512207,86
2017-05-16 11:24:49.000 -07:00,026,-123.025466918945,49.2152328491211,87
2017-05-16 11:25:54.000 -07:00,026,-123.045166015625,49.2442817687988,88
2017-05-16 11:26:59.000 -07:00,026,-123.043914794922,49.2427177429199,89
2017-05-16 11:28:04.000 -07:00,026,-123.047065734863,49.2394180297852,90
2017-05-16 11:29:09.000 -07:00,026,-123.028900146484,49.2228317260742,91
2017-05-16 11:30:14.000 -07:00,026,-123.048164367676,49.2373008728027,92
2017-05-16 11:30:46.000 -07:00,026,-123.032279968262,49.2215995788574,93
2017-05-16 11:32:23.000 -07:00,026,-123.032135009766,49.2268676757813,94
2017-05-16 11:32:55.000 -07:00,026,-123.031982421875,49.2290153503418,95
2017-05-16 11:34:00.000 -07:00,026,-123.041435241699,49.227466583252,96
2017-05-16 11:35:05.000 -07:00,026,-123.037384033203,49.2318992614746,97
2017-05-16 11:36:43.000 -07:00,026,-123.04133605957,49.2193984985352,98
2017-05-16 11:37:48.000 -07:00,026,-123.045364379883,49.2443008422852,99
2017-05-16 11:38:53.000 -07:00,026,-123.034332275391,49.2161331176758,100
2017-05-16 11:39:26.000 -07:00,026,-123.045364379883,49.2443008422852,101
2017-05-16 11:39:58.000 -07:00,026,-123.031463623047,49.2154998779297,102
2017-05-16 11:41:04.000 -07:00,026,-123.045364379883,49.2443008422852,103
2017-05-16 11:44:20.000 -07:00,026,-123.024002075195,49.2174682617188,104
2017-05-16 11:45:57.000 -07:00,026,-123.045364379883,49.2443008422852,105
2017-05-16 11:46:29.000 -07:00,026,-123.023651123047,49.2206497192383,106
2017-05-16 11:49:11.000 -07:00,026,-123.045135498047,49.2442665100098,107
2017-05-16 11:49:44.000 -07:00,026,-123.032386779785,49.2200012207031,108
2017-05-16 11:50:16.000 -07:00,026,-123.043884277344,49.242748260498,109
2017-05-16 11:51:21.000 -07:00,026,-123.032150268555,49.2270011901855,110
2017-05-16 11:52:26.000 -07:00,026,-123.048202514648,49.2373161315918,111
2017-05-16 11:53:31.000 -07:00,026,-123.037399291992,49.2296981811523,112
2017-05-16 11:54:36.000 -07:00,026,-123.043083190918,49.234748840332,113
2017-05-16 11:56:13.000 -07:00,026,-123.04313659668,49.2306518554688,114
2017-05-16 11:56:45.000 -07:00,026,-123.035400390625,49.2346000671387,115
2017-05-16 11:57:17.000 -07:00,026,-123.033233642578,49.2367515563965,116
